"idx","topic_title","topic_content","topic_reply_main","topic_reply_re"
1,gridview의 setColumnVisibleColumn api 질문4,"<< 개요 >>

( 기능 문의의 경우 해당 기능의 사용 용도와 목적을 구체적으로 기술해 주시기 바랍니다. )

해당 api를 사용하는데 
감추려는 컬럼을 3줄로 입력하였는데 마지막 줄만 적용이 됐습니다
인덱스가 0-5 인데 
여러건을 감출수는 없나요?

<< 재현 방법 >>

( 재현이 쉽도록 순서를 명시하여 주시면 좋습니다. 관련 소스는 가급적 첨부파일로 올려 주시기 바랍니다.)



","안녕하세요.

gridView setColumnVisibleColumn(); API 관련하여 테스트 파일 첨부드립니다.
inputType=""select""에 바인딩 된 dataList type 컬럼 true인 값들을 visible 처리한 테스트 파일입니다.

확인부탁드립니다.
감사합니다.",""
2,[gridView] groupBy() 후 엑셀 다운로드1,"","안녕하십니까!

그리드 groupby시 엑셀 다운로드를 할때는
옵션에 groupby=''true' 를 추가해 주시면 될거 같습니다.

-------------------------------------------------------------
  var options = {};
  options.fileName = ""excelData.xlsx"";
  //그리드 그룹바이 옵션 추가
  options.groupby = ""true"";
  
  gridView1.advancedExcelDownload( options );
-------------------------------------------------------------

소스상에서 공통함수 ef.gridDataDownLoad 함수 안에서 추가해 주신 
groupby 옵션이 잘 셋팅이 되는지 확인을 해보시기 바랍니다.

그리고 groupby 옵션도 이상이 없는지 확인해 보시면 될거 같습니다.

간단한 테스트 샘플을 첨부 전달드립니다.

감사합니다.


감사합니다.
 ",""
3,DataList 데이터를 Gridview로 보여줄 때 행과 열 변경하는 방법 문의3,"<< 개요 >>

간단하게 예시를 하나 들겠습니다.
[
    {'id': 'testID1', name: 'testName1', cont1: 'testCont1-1', cont2: 'testCont2-1'},
    {'id': 'testID2', name: 'testName2', cont1: 'testCont1-2', cont2: 'testCont2-2'},
    {'id': 'testID3', name: 'testName3', cont1: 'testCont1-3', cont2: 'testCont2-3'},
    {'id': 'testID4', name: 'testName4', cont1: 'testCont1-4', cont2: 'testCont2-4'},
    {'id': 'testID5', name: 'testName5', cont1: 'testCont1-5', cont2: 'testCont2-5'},
    {'id': 'testID6', name: 'testName6', cont1: 'testCont1-6', cont2: 'testCont2-6'},
]

이런 데이터를 DataList에 담았습니다.
그리고 저는 gridview로 이렇게 그리고 싶습니다.
    testName1 testName2 testName3 testName4 testName5 testName6
ID testID1 testID2 testID3 testID4 testID5 testID6
CONT1 testCont1-1 testCont1-2 testCont1-3 testCont1-4 testCont1-5 testCont1-6
CONT2 testCont2-1 testCont2-2 testCont2-3 testCont2-4 testCont2-5 testCont2-6

일반적인 gridview로 datalist에 세팅 후 그릴 때는 위쪽 header엔 해당datalist의 key가 세팅되어 row단위로 데이터가 세팅되는데 전 컬럼 단위로 세팅되게 하고 싶습니다.

방법이 있다면 알려주셨으면 합니다.



<< 재현 방법 >>

( 재현이 쉽도록 순서를 명시하여 주시면 좋습니다. 관련 소스는 가급적 첨부파일로 올려 주시기 바랍니다.)



","안녕하세요.

말씀해주신 컬럼 단위로 설정하는 방법은 지원하지않습니다.

감사합니다.",""
4,gridView fixedColumn 문의1,"<< 개요 >>

gridView 에 바인딩하는 10개의 컬럼중 앞에 3개의 컬럼과 뒤에 3개의 컬럼을 고정하고 싶은데 방법이 있는지 문의 드립니다.



<< 재현 방법 >>

( 재현이 쉽도록 순서를 명시하여 주시면 좋습니다. 관련 소스는 가급적 첨부파일로 올려 주시기 바랍니다.)



","안녕하세요.

해당 gridView에 fixedColumn, fixedRightColumn 속성을 설정해주시면 됩니다.

// 속성 설정 예시
<w2:gridView fixedColumn=""3"" fixedRightColumn=""3"" ....

추가로 프로젝트명 기입 부탁드립니다.
감사합니다.",""
5,gridview 헤더에 filter 변경 시 이벤트 캐치 방법1,"<< 개요 >>

안녕하세요. 

gridview 에서 useflterlist를 이용해서 헤더에 filter를 사용하고 있습니다. 

현재 그리드에 조회된 총 개수를 보여주고 있는데....

이 필터가 바뀌면 바뀌었다는 이벤트를 캐치하여 그때 다시 그리드에 조회된 개수를 변경해주고 싶은데....

이 필터가 변경되었다 는걸 어떻게 캐치할 수 잇을까요? 이벤트 목록에 따로 없는거 같아서..여쭤봅니다



<< 재현 방법 >>

( 재현이 쉽도록 순서를 명시하여 주시면 좋습니다. 관련 소스는 가급적 첨부파일로 올려 주시기 바랍니다.)



","안녕하세요.
gridView에 header Filter를 제어하는 이벤트는 현재 지원하지 않으므로, 
필터가 적용되어 dataList의 값이 변경되는 것을 체크하는 로직으로 구현하시면 될듯합니다.
dataList의 onbeforecolumnfilterchange 이벤트를 사용해보시기 바랍니다.

감사합니다.",""
6,gridview 내부 escape 옵션문의3,"<< 개요 >>

( 기능 문의의 경우 해당 기능의 사용 용도와 목적을 구체적으로 기술해 주시기 바랍니다. )
gridview 내부 inputType이 textImage인 경우
escape  = true 옵션이 적용이 안되는듯 합니다.


입력하면서 포커스시 <PE> 제대로 표기되지만

입력 후에는  <PE> 부분이 태그로 변경되어 사라집니다

다시 선택하면 <PE>부분은 글자로 표기됩니다

버그인지 제가 잘못 사용하고 있는건지 궁금합니다

inputType이 TEXT나 다른타입의 경우  escape  = true 작동 잘 됩니다.

<< 재현 방법 >>

( 재현이 쉽도록 순서를 명시하여 주시면 좋습니다. 관련 소스는 가급적 첨부파일로 올려 주시기 바랍니다.)



","안녕하세요.
type이 textImage인 경우 escape=""True""가 적용되지 않는 것을 확인했습니다.
해당 기능은 22년 7월 이후 엔진에서 개선되었으며, 요청 시 최신 엔진 전달드리도록 하겠습니다.",""
7,"GridView 셀값이 ""0""->""""로 변경될 때 rowStatus가 변경되지 않는 문제2","<< 개요 >>

( 기능 문의의 경우 해당 기능의 사용 용도와 목적을 구체적으로 기술해 주시기 바랍니다. )

GridView 셀의 값이 0인 상태에서 0을 지우고 빈 셀로 만들면 rowStatus가 'U'로 변경되지 않고 'R'로 유지되는 현상이 있습니다.
1. DataList 컬럼의 ignoreStatus = false인 상태
2. DataList 컬럼의 dataType = text, GridView의 셀 property에서 dataType = text인 경우
3. DataList 컬럼의 dataType = number, GridView의 셀 property에서 dataType = number인 경우
1~3의 조건에서 동일한 현상이 발생합니다.
셀의 값이 ""0"" -> """"으로 변경됐지만 rowStatus가 변경되지 않아 변경값의 유효성 체크에 어려움이 있는데
이 경우 rowStatus가 변경되지 않는 건 의도적인 건가요? 별도의 체크 로직을 작성해야 할지 아니면 다른 property 등 설정값 변경으로 해결할 수 있는지 문의드립니다.




<< 재현 방법 >>

( 재현이 쉽도록 순서를 명시하여 주시면 좋습니다. 관련 소스는 가급적 첨부파일로 올려 주시기 바랍니다.)



","",""
8,gridview header 전체선택 로직 문의1,"<< 개요 >>

gridview header 컬럼의 inputType을 checkbox로 설정해 전체선택을 할 수 있도록 개발중에 있습니다.

gridview를 이용해 개발을 하다보면 로직상 전체선택을 막아야 하는 경우가 있습니다. (ex. 특정 column값이 비어있는 경우)
클릭 이벤트의 반환값으로 이벤트 객체가 넘어오는 경우 preventDefault 함수를 이용해 특정 이벤트를 막는 것으로 알고 있지만, onheaderclick의 반환값으로 headerId만 넘어와 preventDefault 함수를 쓸 수 없어 특정 조건의 경우 전체선택을 막는 기능을 어떻게 구현해야 할지 잘 모르겠습니다.

혹시 웹스퀘어에서 header의 checkbox를 이용해 전체선택을 하는 경우, checkbox를 클릭했을 때 전체선택을 막을 수 있는 방법이 있을까요?
( 기능 문의의 경우 해당 기능의 사용 용도와 목적을 구체적으로 기술해 주시기 바랍니다. )



<< 재현 방법 >>

[원하는 기능]
1. header의 checkbox를 클릭해 gridview 데이터 전체 선택을 시도한다.
2. 조건에 따라 전체선택이 가능한 경우와 불가능한 경우 로직을 분기한다.
2-1: 전체선택이 가능한 경우
- 기존 로직과 동일하게 전체선택이 된다.
2-2: 전체선택이 가능하지 않은 경우(ex. gridview에 바인딩 된 datalist를 확인해 특정 컬럼에 값이 없는 경우)
- 전체선택을 막는다.

( 재현이 쉽도록 순서를 명시하여 주시면 좋습니다. 관련 소스는 가급적 첨부파일로 올려 주시기 바랍니다.)



","안녕하세요.

checkbox 컬럼에 true 값을 체크하여 true 값이 있는 경우, setHeaderDisabled(); true 적용한 테스트 파일 첨부드립니다.
테스트 파일 확인부탁드립니다.

감사합니다.",""
9,gridview의 setColumnVisibleColumn api 질문4,"<< 개요 >>

( 기능 문의의 경우 해당 기능의 사용 용도와 목적을 구체적으로 기술해 주시기 바랍니다. )

해당 api를 사용하는데 
감추려는 컬럼을 3줄로 입력하였는데 마지막 줄만 적용이 됐습니다
인덱스가 0-5 인데 
여러건을 감출수는 없나요?

<< 재현 방법 >>

( 재현이 쉽도록 순서를 명시하여 주시면 좋습니다. 관련 소스는 가급적 첨부파일로 올려 주시기 바랍니다.)



","안녕하세요.

gridView setColumnVisibleColumn(); API 관련하여 테스트 파일 첨부드립니다.
inputType=""select""에 바인딩 된 dataList type 컬럼 true인 값들을 visible 처리한 테스트 파일입니다.

확인부탁드립니다.
감사합니다.",""
10,[gridView] groupBy() 후 엑셀 다운로드1,"<< 개요 >>
gridView에서 groupBy()후 해당 그리드데이터를 엑셀 다운로드시 무한로딩 or 무반응




<< 재현 방법 >>
1) 검색조건의 물품별합계, 창고별합계 선택 - scwin.chk_onchange()
2) 엑셀버튼 클릭하여 엑셀다운로드 - scwin.fExcelDown()




","안녕하십니까!

그리드 groupby시 엑셀 다운로드를 할때는
옵션에 groupby=''true' 를 추가해 주시면 될거 같습니다.

-------------------------------------------------------------
  var options = {};
  options.fileName = ""excelData.xlsx"";
  //그리드 그룹바이 옵션 추가
  options.groupby = ""true"";
  
  gridView1.advancedExcelDownload( options );
-------------------------------------------------------------

소스상에서 공통함수 ef.gridDataDownLoad 함수 안에서 추가해 주신 
groupby 옵션이 잘 셋팅이 되는지 확인을 해보시기 바랍니다.

그리고 groupby 옵션도 이상이 없는지 확인해 보시면 될거 같습니다.

간단한 테스트 샘플을 첨부 전달드립니다.

감사합니다.


감사합니다.
 ",""
