"idx","topic_title","topic_content","topic_reply_main","topic_reply_re"
1,DataList 데이터를 Gridview로 보여줄 때 행과 열 변경하는 방법 문의3,"<< 개요 >>

간단하게 예시를 하나 들겠습니다.
[
    {'id': 'testID1', name: 'testName1', cont1: 'testCont1-1', cont2: 'testCont2-1'},
    {'id': 'testID2', name: 'testName2', cont1: 'testCont1-2', cont2: 'testCont2-2'},
    {'id': 'testID3', name: 'testName3', cont1: 'testCont1-3', cont2: 'testCont2-3'},
    {'id': 'testID4', name: 'testName4', cont1: 'testCont1-4', cont2: 'testCont2-4'},
    {'id': 'testID5', name: 'testName5', cont1: 'testCont1-5', cont2: 'testCont2-5'},
    {'id': 'testID6', name: 'testName6', cont1: 'testCont1-6', cont2: 'testCont2-6'},
]

이런 데이터를 DataList에 담았습니다.
그리고 저는 gridview로 이렇게 그리고 싶습니다.
    testName1 testName2 testName3 testName4 testName5 testName6
ID testID1 testID2 testID3 testID4 testID5 testID6
CONT1 testCont1-1 testCont1-2 testCont1-3 testCont1-4 testCont1-5 testCont1-6
CONT2 testCont2-1 testCont2-2 testCont2-3 testCont2-4 testCont2-5 testCont2-6

일반적인 gridview로 datalist에 세팅 후 그릴 때는 위쪽 header엔 해당datalist의 key가 세팅되어 row단위로 데이터가 세팅되는데 전 컬럼 단위로 세팅되게 하고 싶습니다.

방법이 있다면 알려주셨으면 합니다.



<< 재현 방법 >>

( 재현이 쉽도록 순서를 명시하여 주시면 좋습니다. 관련 소스는 가급적 첨부파일로 올려 주시기 바랍니다.)



","안녕하세요.

말씀해주신 컬럼 단위로 설정하는 방법은 지원하지않습니다.

감사합니다.

","보여준 예시처럼 구현하시려면 tableLayout 컴포넌트를 사용하여 구현하셔야 할 것 같습니다.

감사합니다.

"
2,datamap을 datalist로 변환1,"<< 개요 >>

( 기능 문의의 경우 해당 기능의 사용 용도와 목적을 구체적으로 기술해 주시기 바랍니다. )
datamap을 datalist로 변환 가능한가요?


<< 재현 방법 >>

( 재현이 쉽도록 순서를 명시하여 주시면 좋습니다. 관련 소스는 가급적 첨부파일로 올려 주시기 바랍니다.)
datamap에는 [{a : 1},{b : 2},{c : 3}]이 있으면
datalist에 [{{name : kim},{a : 1},{b : 2},{c : 3}},
               {{name : lee},{a : 1},{b : 2},{c : 3}},
               {{name : park},{a : 1},{b : 2},{c : 3}}]

이런식으로 넣고 싶습니다.


","안녕하세요.

문의해주신 내용은 dataList의 setCellData API를 사용해 dataMap의 데이터를 dataList에 직접 추가하는 방식으로 가능합니다.

이를 구현한 샘플 파일을 첨부하니 확인부탁드립니다.

감사합니다.

",""
3,datalist rowMoveUp/Down 동작 문의1,"<< 개요 >>

( 기능 문의의 경우 해당 기능의 사용 용도와 목적을 구체적으로 기술해 주시기 바랍니다. )
datalist 중간에 row를 추가하고 해당 로우에 rowMoveDown 을 할 시 동작하지 않고
rowMoveUp 또한 정상동작하지 않습니다
(마지막 row로 추가할 시 정상동작)


<< 재현 방법 >>

( 재현이 쉽도록 순서를 명시하여 주시면 좋습니다. 관련 소스는 가급적 첨부파일로 올려 주시기 바랍니다.)
1. 데이터리스트 조회
2. 데이터리스트 중간에 row 추가
3. 데이터리스트 rowMoveDown, rowMoveUp 
4. 일부 로우를 뛰어 넘어 2칸씩 이동, 미동작 등 이상동작

관련 소스 첨부가 불가하여 확인이 필요하시다면 원격으로 확인 부탁드립니다.


","안녕하십니까!

dataList rowMoveUp 시 이상동작 확인이 안되어
테스트 샘플을 첨부 합니다.
(웹스퀘어 버전 : 5.0_3.3751B.20190805.170800_1.8)

샘플파일로 테스트 해보시고 동작 확인 부탁드립니다.

Q&A에 문의주신 암호화(DRM) 된 이미지 파일 업로드 시 오류 발생 문의는
내부적으로 이미지 파일은 javax.imageio.ImageIO 을 사용하여 읽고 있습니다.
API 에 나온 방식으로  인터페이스를 만들어 복호화 하여 사용하셔야 할거 같습니다.

감사합니다.

 

",""
4,datalist 에서 onbeforchanging event 질문 3,"<< 개요 >>


( 기능 문의의 경우 해당 기능의 사용 용도와 목적을 구체적으로 기술해 주시기 바랍니다. )
parent 용 datalist 를 dlt_master
child   용 datalist를 dlt_detail 로 하였을경우

dlt_detail를 수정 하고 dlt_master의 row를 변경하였을경우
   dlt_detail이 수정되었기 떄문에  confirm문장으로
     dlt_master의 row를 변경할것인지 문의하여 로우를 변경할것인를 수행하고 싶습니다.

아래 예제)  


<< 재현 방법 >>
    scwin.dlt_master_onbeforerowpositionchange = function(info) {
         var vi_cnt = dc_userInfoList.getModifiedIndex();
         if (vi_cnt > 0) {
             if (confirm(""하위가 변경되었습니다"")) return true;
             else return false;
        }
        return true;
    };
( 재현이 쉽도록 순서를 명시하여 주시면 좋습니다. 관련 소스는 가급적 첨부파일로 올려 주시기 바랍니다.)



","안녕하세요 
버전 및 빌드일에 작성해주신 build date는 스튜디오 버전으로 엔진버전을 알려주셔야 합니다.
엔진버전 확인방법 ) 
1. ctrl+우클릭 > 버전정보 
2. f12 개발자도구 콘솔탭에서 WebSquare.core.getVersion() 입력

추가적으로 문의주신 게 구현샘플을 요청하시는게 맞는지 확인요청드립니다. 
첨부해주신 일부 소스에서 ( dc_userInfoList.getModifiedIndex(); ) dc_userInfoList는 질문해주신 부분에 나오지 않은 부분이라 질문드립니다. 
파일 첨부가 가능하다면 테스트 가능한 파일 댓글로 남겨주시면 테스트하도록 하겠습니다. 

","version 정보: version : 5.0_4.3846B.20191028.172458_1.8

이 버젼에서 구현 셈풀 부탁드립니다.

전화 통화 부탁드립니다. 
 

안녕하세요 
5.0_4.3846B.20191028.172458_1.8 버전에서 확인이 어려워 비슷한 일자인 5.0_4.3849B.20191030.101839_1.5 에서 테스트한 결과 정상적으로 동작하는 것 확인했습니다. 
해당 소스 파일도 오류가 나는지 적용해보시기 바랍니다.
감사합니다. 

"
5,datalist에서 2개 혹은 그이상의 컬럼의 값이 동일한것 찾기 1,"<< 개요 >>

( 기능 문의의 경우 해당 기능의 사용 용도와 목적을 구체적으로 기술해 주시기 바랍니다. )
datalist 에서 컬럼 2개 값으로 찾기
  함수 getMatchedIndex( conInfo , dataValue , exactMatch , stRowIndex , lastRowIndex )
 한개의 컬럼으로 값을 찾기는 가능합니다만
 두개의 컬럼으로 값을 찾아오는 방법는 있는지요.
예) name, deptNo 컬럼이 있다면
    name이 '홍길동' 이고  deptNo 가 '기획실'  인 사람을 찾을경우입니다.
감사합니다. 


<< 재현 방법 >>

( 재현이 쉽도록 순서를 명시하여 주시면 좋습니다. 관련 소스는 가급적 첨부파일로 올려 주시기 바랍니다.)
","안녕하세요.

dataList1.getMatchedIndex API는 한 개의 column만 적용됩니다. 
문의주신 것처럼 여러 개의 column과 비교하시려면 loop문으로 돌리셔서 직접 코딩하셔야 합니다. 

예제 코드 ) 
var row1 = dataList1.getMatchedIndex(""name"", ""홍길동"");
var row2 = dataList1.getMatchedIndex(""deptNo"", ""기획실"");        
var rowIndex = same(row1,row2);

function same (a, b) {        
        var i, la = a.length, lb = b.length, res = [];
        for (i = 0; i < la; i++) {
            if (b.indexOf(a[i]) !== -1)
                res.push(a[i]);
        }
        return res;
    };

감사합니다. 

",""
6,"gridview header에 filter , datalist column filter 질문입니다.3","<< 개요 >>

( 기능 문의의 경우 해당 기능의 사용 용도와 목적을 구체적으로 기술해 주시기 바랍니다. )
gridview에 a라는 datalist를 바인딩해서 쓰고 있다고 가정합니다.

헤더에 useFilter 를 이용해서 필터를 걸어놨고

데이터 row값은 성공/실패 2개가 있습니다.



직접 헤더를 클릭해서 '실패'만 체크하면 실패만 그리드에 보이고, 다시 전체 선택 체크하면 전체가 보이고 ... (이게 원하는 동작입니다.)

근데 특정화면에서 성공 또는 실패를 클릭해서 이 grid가 있는 페이지로 이동을 하고 클릭한 타입에 따라 성공 또는 실패 를 필터를 줍니다.

var filter = {type:""row"",colIndex:""status"", condition:""and"",exactMatch:true, key:""실패""};
A_DataList.setColumnFilter(filter);

이런 식으로 datalist에 필터를 걸어주면 목록에는 실패만 나오긴 하지만, 헤더에 필터를 누르면
 
이렇게 '실패' 값만 보이기 때문에 '성공' 에 해당하는 값은 볼수가 없습니다.


직접 헤더를 클릭해서 필터를 건 것처럼 스크립트로 저렇게 처리 해줄 방법이 없을까요?


스크립트를 이용해 이그림처럼 필터를 걸어 주고 싶습니다.

<< 재현 방법 >>

( 재현이 쉽도록 순서를 명시하여 주시면 좋습니다. 관련 소스는 가급적 첨부파일로 올려 주시기 바랍니다.)



","안녕하세요.

gridView 속성중에 useFilterListSync 속성값을 true로 설정하시면 가능합니다.
API 문서 참고 부탁드립니다.

useFilterListSync
- DataList의 setFilter(); 및 setColumnFilter(); 등의 함수를 통해 필터링한 경우, 해당 필터를 필터 목록에 표시. [default: false, true]
GridView 전체에 설정.

감사합니다.

","해당 버전에서 테스트 결과 정상적으로 실행됩니다.
첨부파일 확인부탁드립니다.

감사합니다.

"
7,datalist 필터 질문1,"<< 개요 >>

( 기능 문의의 경우 해당 기능의 사용 용도와 목적을 구체적으로 기술해 주시기 바랍니다. )

datalist에서, setColumFilter를 할 때, 컬럼의 값이 null("""")인 경우만 목록을 가져오는 필터링을 하고 싶은데

setCoulmFilter({type:'row', colIndex:'col', key:"""", condition:'and'})

이런식으로 작성하니까, 필터링이 되지 않더라구요.

혹시 다른 방식으로 작성해야할까요?


<< 재현 방법 >>

( 재현이 쉽도록 순서를 명시하여 주시면 좋습니다. 관련 소스는 가급적 첨부파일로 올려 주시기 바랍니다.)



","안녕하세요.

setColumnFilter를 이용하여 null 인 값만 필터링을 하기 위해서는 type을 'func'로 변경하셔야합니다.
아래 예시코드 확인 부탁드립니다.
//예시
dataList2.setColumnFilter({type:'func', colIndex:'col1', key:fn_tmpDeptFilter , condition: 'and'});

var fn_tmpDeptFilter = function(cellData, tmpParam, rowIdx){
                if(cellData == null || cellData ==''){
                    return true;
                }else {
                    return false;
                }
            }

",""
8,datalist setColumnFilter 문의입니다.1,"<< 개요 >>

datalist setColumnFilter 문의입니다.

필터링하는 것 중에, rowstatus로 필터링을 거는 방법이 따로 있을까요?


<< 재현 방법 >>","안녕하세요.
setColumnFilter에 아래와같이 함수를 정의하여 구현 가능합니다.
예시)
dataList1.setColumnFilter(
                {type:'func', colIndex:'col1', key:fn_tmpDeptFilter, condition:'and'}
            );


// rowStatus가 ""U"" 인것만 return
var fn_tmpDeptFilter = function(cellData, tmpParam, rowIdx){
                            
                if( dataList1.getRowStatus(rowIdx) !=""U""){
                    return false;
                }
                return true;   //return이 true인 경우 적용하고 false인 경우 skip한다.
            }  

감사합니다.

",""
9,datalist setColumnFilter 문의1,"<< 개요 >>

datalist setColumnFilter 문의입니다.

필터링하는 것 중에, rowstatus로 필터링을 거는 방법이 따로 있을까요?


<< 재현 방법 >>


<< 비고 >","안녕하세요.

Q&A게시판에 문의주실때 게시판의 양식에 맞게 작성하고 문의주시기 바랍니다.
(문의하신 사이트명, 웹스퀘어 사용버전, 도입전이라면 간략한 정보 등)
정확한 정보 남겨주시면 해당 버전에 맞는 가이드 및 샘플 전달드리도록 하겠습니다.

 

",""
10,[이지스자산운용] dataList column 설정 중 ignoreStatus 설정 문의1,"<< 개요 >>

( 기능 문의의 경우 해당 기능의 사용 용도와 목적을 구체적으로 기술해 주시기 바랍니다. )
dataList column 설정 중 ignoreStatus 설정이 있는데, 해당 항목에 대해서 전역으로 설정하고 싶은데, config.xml 에서 설정이 가능할까요?
데이터리스트에서 chk ID를 체크 박스로 쓰고있는데, 모든화면 동일
config.xml 에 보면 아래와 같이 dataList 전역 설정부분이 있는데, 붉은 색으로 추가했는데, 적용이 안되서요.
    <dataList>
        <removeDummyRowStatus value=""true"" />
        <removedDataMatch value=""true"" />
        <keepDataType value=""true"" />
        <saveRemovedDataDeletedInsertedRow value=""false"" />
        <keepFilter value=""true"" />
        <column id=""chk"">
            <ignoreStatus value=""true"" />
        </column>
    </dataList>

<< 재현 방법 >>

( 재현이 쉽도록 순서를 명시하여 주시면 좋습니다. 관련 소스는 가급적 첨부파일로 올려 주시기 바랍니다.)
","안녕하세요.

dataList ignoreStatus 속성은 config.xml 파일에서 설정을 할 수 없습니다.

감사합니다.

",""
11,datalist에서 특정 데이터 체크1,"<< 개요 >>

datalist에서, 특정 컬럼들의 value에 맞는 값들이 있는지 없는지 체크하고 싶은데,

보니까 getMatchedArray 라는 메소드들이 있는데

한가지 조건으로만 체크할 수 있더라구요.

col1, col2의 두가지 조건으로 매칭되는 값이 있는지 체크할 수 있는 방법이 있나요?



<< 재현 방법 >>

( 재현이 쉽도록 순서를 명시하여 주시면 좋습니다. 관련 소스는 가급적 첨부파일로 올려 주시기 바랍니다.)



","안녕하세요.
getMatched 관련 API 는 복수의 조건을 지원하지 않습니다.
문의주신 것처럼 여러 개의 column과 비교하시려면 반복문으로 직접 코딩하셔야 합니다. 

*
중복 조건에 해당되는 값의 유무 판별 - getMatchedIndex api 이용하여 샘플코드 작성

//그리드
name1 name2 name3
사과     사과    참외
사과     딸기      배
딸기    바나나   사과

//샘플코드
 var row1 = dataList1.getMatchedIndex(""col1"", ""사과"");
 var row2 = dataList1.getMatchedIndex(""col3"", ""배"");        
 var rowIndex = matched(row1,row2);

  function matched(a, b) {        
        var i, la = a.length, res = [];
        for (i = 0; i < la; i++) {
            if (b.indexOf(a[i]) !== -1)
                res.push(a[i]);
        }
        return res;
    };

참고해 주시기 바랍니다.
감사합니다.
 

",""
12,Fusionchart StackedColumn2D dataList 구조 문의1,"<< 개요 >>

( 기능 문의의 경우 해당 기능의 사용 용도와 목적을 구체적으로 기술해 주시기 바랍니다. )
누적 그래프를 사용하기 위해 sample과 같이 dataList를 아래와 같이 설정했습니다.
Fusionchart_sample.xml에 있는 dataList와 fusionChart로 누적 그래프가 정상 적으로 표시되지 않습니다.

X축 1개 분류마다 Y축 5개정도의 값이 세로로 쌓이는 그래프(StackedColumn2D)로 표시해야 하는데 dataList 구조를 어떻게 넣어야 하는지 문의 드립니다.



<< 재현 방법 >>

( 재현이 쉽도록 순서를 명시하여 주시면 좋습니다. 관련 소스는 가급적 첨부파일로 올려 주시기 바랍니다.)
* dataList 설정
<w2:dataList baseNode=""list"" id=""dataList2"" repeatNode=""map"" saveRemovedData=""true"" style="""">
    <w2:columnInfo>
        <w2:column dataType=""text"" id=""col2"" name=""name""></w2:column>
        <w2:column dataType=""number"" id=""col3"" name=""vaue""></w2:column>
    </w2:columnInfo>
    <w2:data use=""true"">
        <w2:row>
            <col2><![CDATA[접수등록]]></col2>
            <col3><![CDATA[400]]></col3>
        </w2:row>
        <w2:row>
            <col2><![CDATA[가입확정]]></col2>
            <col3><![CDATA[500]]></col3>
        </w2:row>
        <w2:row>
            <col2><![CDATA[가입증서발급]]></col2>
            <col3><![CDATA[200]]></col3>
        </w2:row>
    </w2:data>
</w2:dataList>

* fusionChart 삽입
<w2:fusionchart accessibility=""false"" chartType=""StackedColumn2D"" drawType=""javascript"" id="""" labelNode="""" ref=""data:dataList2""
    runflashAt=""IE6,IE7,IE8"" seriesNode="""" seriesType=""simple"" style=""height:230px; font-size:16px;"" valueNode="""">
</w2:fusionchart>

* 결과는 첨부 했습니다.","안녕하세요
StackedColumn2D 샘플 파일 전달드립니다. 
감사합니다. 
 

",""
13,multipleDataListDownload 관련 문의3,"<< 개요 >>

( 기능 문의의 경우 해당 기능의 사용 용도와 목적을 구체적으로 기술해 주시기 바랍니다. )

multipleDataListDownload를 이용하여 dataList를 엑셀파일로 다운로드 하려고 하는데
여기서 위아래로 같은 데이터를 가진 열(rowNum)끼리 병합하는 기능이 가능한지 문의드립니다.
그리고 디폴트로 가운데정렬이 되는거 같은데 특정 열만 왼쪽/오른쪽 정렬로 바꾸는 기능이 있나요?

예)
dataList
{[rowNum: 1. desc: ""테스트123""], [rowNum: 1. desc: ""테스트456""], [rowNum: 2. desc: ""테스트789""], [rowNum: 2. desc: ""테스트000""]}

총 4개의 행에 rowNum이 같은 것끼리 셀병합을 하여
=============
rowNum || Desc
=============
1             테스트123
              테스트456
2             테스트789
              테스트000

이렇게 출력되게 하고자 합니다.

<< 재현 방법 >>

( 재현이 쉽도록 순서를 명시하여 주시면 좋습니다. 관련 소스는 가급적 첨부파일로 올려 주시기 바랍니다.)



","안녕하세요
같은 데이터를 가진 열끼리 병합하시려는 경우 해당 컬럼 속성에 colMerge=""true""  설정하신 후
마찬가지로 엑셀 다운로드 옵션도  colMerge:""true"" 설정하시면 됩니다. 

특정 열만 왼쪽,오른쪽으로 정렬하는 기능은 해당 gridView body 컬럼의 속성으로 textAlign=""left"" /""right"" 적용하시면 됩니다. 

첨부드리는 샘플 파일로 테스트해보시기 바랍니다.
감사합니다. 

","안녕하세요
gridView 가 아닌 테이블로 생성하여 엑셀 다운로드 하시려는 경우 문의주신 병합과 정렬에 대한 설정이 지원되지 않고 있습니다. 

감사합니다. 

"
14,linkedDataList 설정 질문1,"<< 개요 >>

select box1에 dataList 바인딩,

select box2에 linkedDataList 바인딩하고,

select box1의 선택값을 변경했을때,

select box2에서 선택할수 있는 값들을 변경(필터링) 해주고 싶은데,

select box2에 바인딩 되어있는 linkedDataList의 Filter Condition을 어떤식으로 작성해야 할까요?

현재 Filter Condition에

columnName == ref(selectBox1Id.value)

이런식으로 작성된 상태인데, 제대로 분류가 되지 않습니다.



<< 재현 방법 >>

( 재현이 쉽도록 순서를 명시하여 주시면 좋습니다. 관련 소스는 가급적 첨부파일로 올려 주시기 바랍니다.)



","안녕하세요.

linkedDataList Filter Condition 설정 관련하여 참고하실 수 있는 테스트 파일 첨부드립니다.

selectbox value 값으로 설정 시, colID == val('select3') 예시처럼 설정하시면 됩니다.
테스트 파일 참고부탁드립니다.

감사합니다.

",""
15,DataGrid에서 dataList 값에 따른 cell class 적용 방법 문의1,"<< 개요 >>

( 기능 문의의 경우 해당 기능의 사용 용도와 목적을 구체적으로 기술해 주시기 바랍니다. )
DataGrid에서 dataList의 값에 따라 body row의 class를 지정하고 싶습니다.
그림에서 VS.전원과 VS.전년의 값이 +면 상향 화살표, -면 하향 화살표를 class를 지정하면 표시되도록 디자인하였으나,
dataList의 값으로 class를 지정하는 방법을 찾지 못해서 질문 드립니다.
jquery로 지정해봤으나 스크롤이 발생하면 정상적으로 표시가 되지 않습니다.

dataGrid에서 dataList의 데이터 값을 기준으로 class를 지정할 수 있는 방법이 있는지 문의 드립니다.

<< 재현 방법 >>

( 재현이 쉽도록 순서를 명시하여 주시면 좋습니다. 관련 소스는 가급적 첨부파일로 올려 주시기 바랍니다.)



","안녕하세요

datalist의 값의 조건에 따라 그리드뷰 API 중 동적으로 셀에 사용자 class를 적용할수있는 setCellClass를 사용하시면 될것같습니다.

setCellClass( rowIndex , colIndex , className )
grid 셀에 동적으로 사용자 class를 적용
name type required description
rowIndex Number Y 셀의 행번호
colIndex Number Y 셀의 열번호 혹은 컬럼 아이디
className String Y td에 적용할 class의 이름
감사합니다.

",""
