,text,n_tokens
0,"GridView - showSortableUseFilter    정렬 아이콘(showSortableImage=""true"")과 필터링 아이콘(useFilter=""true"")을 모두 헤더에 표시.     GridView    showSortableUseFilter_GridView",59
1,GridView - mergeFocusedCell() & mergeSplitFocusedCell()    포커스된 셀들을 병합하거나 해제하기.    GridView    mergeFocusedCell_mergeSplitFocusedCell_GridView,47
2,GridView - mergeCells & mergeByCol()    열 기준으로 동일한 값을 갖는 셀들을 병합.     GridView    mergeCells_mergeByCol_GridView,44
3,GridView - mergeCells & mergeByRow()    행 기준으로 동일한 값을 갖는 셀들을 병합.    GridView    mergeCells_mergeByRow_GridView,44
4,"GridView - mergeCells & mergeByColRec()    열 기준으로 동일한 값을 갖는 셀들을 병합한 후, 행 기준으로 동일한 값을 갖는 셀들을 다시 병합.     GridView    mergeCells_mergeByColRec_GridView",74
5,"GridView - mergeCells & mergeByRowRec()    행 기준으로 동일한 값을 갖는 셀들을 병합한 후, 열 기준으로 동일한 값을 갖는 셀들을 다시 병합.     GridView    mergeCells_mergeByRowRec_GridView",74
6,"GridView - mergeCells & mergeByRestricCol()    왼쪽 열이 병합된 경우, 왼쪽 열을 기준으로 컬럼의 셀들을 병합.     GridView    mergeCells_mergeByRestricCol_GridView",66
7,"GridView - mergeCells & mergeByRestricRow()    윗행이 병합된 경우, 아래 열의 셀들을 윗행을 기준으로 병합.    GridView    mergeCells_mergeByRestricRow_GridView",60
8,GridView - merge    GridView의 6가지 셀 병합 방식 소개    GridView    merge_GridView,28
9,GridView - mergeClear()    셀 병합 해제.     GridView    mergeClear_GridView,23
10,"GridView - mergeByFree() & unmergeByFree()    특정 영역을 지정한 후, 해당 영역에 포함된 셀을 병합하거나 병합을 해제.    GridView    mergeByFree_unmergeByFree_GridView",67
11,"gridView.column - inputType=""select"" & viewType    inputType=""spinner"" 컬럼의 셀에 화살표 아이콘을 표시.    GridView    inputType_spinner_viewType_gridView_column",53
12,GridView - advancedExcelUpload() & options.removeColumns    Excel 파일을 GridView로 업로드할 때 Excel 특정 컬럼을 제외하고 업로드.    GridView    advancedExcelUpload_removeColumns_GridView,52
13,GridView - fixedColumn & fixedRightColumn    좌우 스크롤링 시 고정할 좌측 및 우측 열의 개수를 지정.     GridView    fixedColumn_fixedRightColumn_GridView,56
14,WFrame - scope (2)    scope 속성 설명 (2)    WFrame    scope_WFrame_2,26
15,"config.xml - strictMode    최상단 메인 페이지를 WFrame으로 감싼 후, 메인 화면과 메인 화면에 포함된 WFrame 간의 객체 참조를 허용.     _config_xml    strictMode_config_xml",62
16,WFrame - scope (1)    scope 속성 설명 (1)    WFrame    scope_WFrame_1,26
17,"Studio - Page Template    공통적으로 사용되는 디자인을 미리 작성하여, 페이지 생성 시 썸네일 이미지 형태로 제공.
    Studio    page_template_Studio",52
18,$p - watermark()    화면 바탕에 워터마크를 출력.     $p    watermark_$p,28
19,AliasDataList - id & scope    WFrame 내부의 GridView와 부모 화면의 DataList를 바인딩.     DataCollection    id_scope_aliasDataList,39
20,"AutoComplete & SelectBox - wheelStop & preventWheelEvent    선택 목록에서만 스크롤링을 허용하거나, 혹은 브라우저 전체에서 스크롤링을 허용할지를 결정.      AutoComplete
SelectBox    wheelStop_preventWheelEvent_AutoComplete_SelectBox",86
21,Calendar - disableBeforeToday & disableAfterToday    현재 날짜 이전 혹은 이후의 날짜 선택을 방지.     Calendar    disableBeforeToday_disableAfterToday_Calendar,45
22,MapChart - dataMapPath & changeMapPath()    선택된 데이터를 사용하여 시각화된 지도 데이터를 생성.    MapChart    dataMapPath_chargeMapPath_MapChart,41
23,PageList - displaySearchBox    페이지 번호를 입력하여 해당 페이지로 바로 이동할 수 있는 페이지 번호 입력창을 표시.     PageList    displaySearchbox_PageList,43
24,SelectBox - preventWheelEvent    선택 목록 위에서 마우스 스크롤링 시 선택 목록이 스크롤되는 것을 방지. 대신 브라우저가 스크롤됨.     SelectBox    preventWheelEvent_SelectBox,71
25,"WidgetContainer - cols & unitHeightPixel & addWidgets()    위젯 생성 방법 및 위젯 이동, 최대화, 고정, 리사이징, 닫기 방법 소개.     WidgetContainer    cols_unitHeightPixel_addWidgets_WidgetContainer",64
26,"WidgetContainer - enableWidgetTitle() & enableWidgetMove() & enableWidgetResize()    위젯 타이틀 표시, 위젯 이동, 위젯 리사이징 방법 설명.     WidgetContainer    enableWidgetTitle_enableWidgetMove_enableWidgetResize_WidgetContainer",66
27,WindowContainer - nameLayerMove    네임 레이어 상의 윈도우 순서 변경.     WindowContainer    nameLayerMove_WindowContainer,35
28,"WindowContainer - createWindow() & fixWindow() & unfixWindow()    윈도우 생성, 윈도우 고정 및 고정 취소, 윈도우를 고정한 채로 생성.    WindowContainer    createWindow_fixWindow_unfixWindow_WindowContainer",66
29,"WindowContainer - closeType & useFixButton    전체 윈도우를 한번에 닫거나, 혹은 고정되거나 고정되어 있지 않은 윈도우만 한번에 닫기.     WindowContainer    closeType_useFixButton_WindowContainer",66
30,$p - openPopup() & options.fullscreen    팝업을 전체 화면에 표시.    $p    openPopup_fullscreen_$p_WebSquare_util,39
31,GridView - setFixedRow()    GridView 행들을 고정.    GridView    setFixedRow_GridView,24
32,GridView - setFixedRow() & mergeCellsFixedRows()    행 고정된 부분에서만 셀들을 병합.     GridView    setFixedRow_mergeCellsFixedRows_GridView,45
33,GridView - setFixedColumn() & setFixedRightColumn()    좌측 및 우측의 열들을 고정.     GridView    setFixedColumn_setFixedRightColumn_GridView,46
34,GridView - setFixedCol()  & setFixedRightCol() & mergeCellsFixedCols()    열 고정된 부분에서만 셀들을 병합.     GridView    setFixedCol_setFixedRightCol_mergeCellsFixedCols_GridView,56
35,GridView - advancedExcelUpload()    엑셀 파일을 그리드뷰로 업로드.    GridView    advancedExcelUpload_GridView,33
36,GridView - advancedExcelUpload() & options.headerExist    엑셀 파일의 헤더를 제외하고 그리드뷰로 업로드.     GridView    advancedExcelUpload_headerExist_GridView,50
37,GridView - advancedExcelUpload() & options.dateFormat    엑셀 파일을 그리드뷰로 업로드할 때 그리드뷰에 표시할 날짜 형식을 지정.    GridView    advancedExcelUpload_dateFormat_GridView,61
38,GridView - mergeCells & mergeCol    지정한 열의 셀들만 병합. (선택적 병합)    GridView    mergeCells_mergeCol_GridView,42
39,GridView - mergeCol()    셀 병합에서 제외할 컬럼을 지정. 지정한 컬럼의 셀들은 병합에서 제외됨.     GridView    mergeCol_GridView,57
40,GridView - getMerged()    지정한 셀의 합 상태를 확인.     GridView    getMerged()_GridView,30
