No,video name,video link,video description,video description(ENG),examplefilename,examplefile download link,classification,Key,O X,sample,dubbing,caption
1,GridView - showSortableUseFilter,https://youtu.be/I0FnIFnnVG8,"정렬 아이콘(showSortableImage=""true"")과 필터링 아이콘(useFilter=""true"")을 모두 헤더에 표시. ","Display both sorting icons (showSortableImage=""true"") and the filter icon (useFilterList=""true""). ",/GridView/Filtering/showSortableUseFilter_GridView.xml,https://inswave.com/confluence/download/attachments/20125188/showSortableUseFilter_GridView.xml?version=1&modificationDate=1644905201565&api=v2,GridView,showSortableUseFilter_GridView,Sample O Dubbing X,O,,
2,GridView - mergeFocusedCell() & mergeSplitFocusedCell(),https://youtu.be/UPplWg8kuXM,포커스된 셀들을 병합하거나 해제하기.,Merge/Unmerge focused cells. ,/GridView/Merge/mergeFocusedCell_mergeSplitFocusedCell_GridView.pdf,,GridView,mergeFocusedCell_mergeSplitFocusedCell_GridView,Sample X Dubbing X,,,
3,GridView - mergeCells & mergeByCol(),https://youtu.be/7rZ888Lz42M,열 기준으로 동일한 값을 갖는 셀들을 병합. ,Merge cells on the column.,/GridView/Merge/mergeCells_mergeByCol_GridView.pdf,,GridView,mergeCells_mergeByCol_GridView,Sample X Dubbing X,,,
4,GridView - mergeCells & mergeByRow(),https://youtu.be/Q_TRkxYXWuA,행 기준으로 동일한 값을 갖는 셀들을 병합.,Merge cells on the row. ,/GridView/Merge/mergeCells_mergeByRow_GridView.pdf,,GridView,mergeCells_mergeByRow_GridView,Sample X Dubbing X,,,
5,GridView - mergeCells & mergeByColRec(),https://youtu.be/YhTmo5kW1jo,"열 기준으로 동일한 값을 갖는 셀들을 병합한 후, 행 기준으로 동일한 값을 갖는 셀들을 다시 병합. ","Merge cells on the column, and then merge cells on the row again.",/GridView/Merge/mergeCells_mergeByColRec_GridView.pdf,,GridView,mergeCells_mergeByColRec_GridView,Sample X Dubbing X,,,
6,GridView - mergeCells & mergeByRowRec(),https://youtu.be/1Zg-WdrvD60,"행 기준으로 동일한 값을 갖는 셀들을 병합한 후, 열 기준으로 동일한 값을 갖는 셀들을 다시 병합. ","Merge cells on the row, and then merge cells on the column again.",/GridView/Merge/mergeCells_mergeByRowRec_GridView.pdf,,GridView,mergeCells_mergeByRowRec_GridView,Sample X Dubbing X,,,
7,GridView - mergeCells & mergeByRestricCol(),https://youtu.be/RorWt-B12_Y,"왼쪽 열이 병합된 경우, 왼쪽 열을 기준으로 컬럼의 셀들을 병합. ",Merge cells on the column to the left.,/GridView/Merge/mergeCells_mergeByRestricCol_GridView.pdf,,GridView,mergeCells_mergeByRestricCol_GridView,Sample X Dubbing X,,,
8,GridView - mergeCells & mergeByRestricRow(),https://youtu.be/iApEMalPwDA,"윗행이 병합된 경우, 아래 열의 셀들을 윗행을 기준으로 병합.",Merge cells on the row to the above.,/GridView/Merge/mergeCells_mergeByRestricRow_GridView.pdf,,GridView,mergeCells_mergeByRestricRow_GridView,Sample X Dubbing X,,,
9,GridView - merge,https://youtu.be/PfhoJKm7BPU,GridView의 6가지 셀 병합 방식 소개,6 ways to merge cells in the GridVew.,/GridView/Merge/merge_GridView.pdf,,GridView,merge_GridView,Sample X Dubbing X,,,
10,GridView - mergeClear(),https://youtu.be/3J0xoRsM7cE,셀 병합 해제. ,Unmerge cells. ,/GridView/Merge/mergeClear_GridView.pdf,,GridView,mergeClear_GridView,Sample X Dubbing X,,,
11,GridView - mergeByFree() & unmergeByFree(),https://youtu.be/X16DleFE0Vg,"특정 영역을 지정한 후, 해당 영역에 포함된 셀을 병합하거나 병합을 해제.",Merge or unmerge cells in the specified area.,/GridView/Merge/mergeByFree_unmergeByFree_GridView.pdf,,GridView,mergeByFree_unmergeByFree_GridView,Sample X Dubbing X,,,
12,"gridView.column - inputType=""select"" & viewType",https://youtu.be/hfi2sQqtKsU,"inputType=""spinner"" 컬럼의 셀에 화살표 아이콘을 표시.","Display arrow buttons on the cells of the inputType=""spinner"" column. ",/GridView/InputType/inputType_spinner_viewType_gridView_column.pdf,,GridView,inputType_spinner_viewType_gridView_column,Sample X Dubbing X,,,
13,GridView - advancedExcelUpload() & options.removeColumns,https://youtu.be/pCpFEoC7Rm8,Excel 파일을 GridView로 업로드할 때 Excel 특정 컬럼을 제외하고 업로드.,Upload an Excel file to the GridView not including specified columns in the Excel file. ,/GridView/Excel/advancedExcelUpload_removeColumns_GridView.pdf,,GridView,advancedExcelUpload_removeColumns_GridView,Sample X Dubbing X,,,
14,GridView - fixedColumn & fixedRightColumn,https://youtu.be/Kxh6WwZUUWo,좌우 스크롤링 시 고정할 좌측 및 우측 열의 개수를 지정. ,Specify the number of columns to fix on the left and on the right ech. ,/GridView/_General/fixedColumn_fixedRightColumn_GridView.pdf,,GridView,fixedColumn_fixedRightColumn_GridView,Sample X Dubbing X,,,
15,WFrame - scope (2),https://youtu.be/958L9UKfYiY,scope 속성 설명 (2),Describes the scope feature of WFrame. (2),/WFrame/scope_WFrame_2.pdf,,WFrame,scope_WFrame_2,Sample X Dubbing X,,,
16,config.xml - strictMode,https://youtu.be/7jJ8zEbhz3M,"최상단 메인 페이지를 WFrame으로 감싼 후, 메인 화면과 메인 화면에 포함된 WFrame 간의 객체 참조를 허용. ",Wrap the top-level main page with WFrame to allow object referencing among the main page and the WFrames contained in the main page. ,/_config_xml/strictMode_config_xml.pdf,,_config_xml,strictMode_config_xml,Sample X Dubbing X,,,
17,WFrame - scope (1),https://youtu.be/rdDGRo2gF8I,scope 속성 설명 (1),Describes the scope feature of WFrame. (1),/WFrame/scope_WFrame_1.pdf,,WFrame,scope_WFrame_1,Sample X Dubbing X,,,
18,Studio - Page Template,https://youtu.be/5zGw92RBe80,"공통적으로 사용되는 디자인을 미리 작성하여, 페이지 생성 시 썸네일 이미지 형태로 제공.
",Add commonly used design resources and provide them as thumbnail images upon page creation. ,/_Studio/Common/page_template_Studio.pdf,,Studio,page_template_Studio,Sample X Dubbing X,,,
19,$p - watermark(),https://youtu.be/2ifAe7gA_28,화면 바탕에 워터마크를 출력. ,Add watermark to the background of the page. ,/$p/_General/watermark_$p.pdf,,$p,watermark_$p,Sample X Dubbing X,,,
20,AliasDataList - id & scope,https://youtu.be/0Hp5G0cT1tk,WFrame 내부의 GridView와 부모 화면의 DataList를 바인딩. ,Bind a GridView in a WFrame with a DataList in a parent page. ,/_DataCollection/id_scope_aliasDataList.pdf,,DataCollection,id_scope_aliasDataList,Sample X Dubbing X,,,
21,AutoComplete & SelectBox - wheelStop & preventWheelEvent,https://youtu.be/Fk_COS9_dOk,"선택 목록에서만 스크롤링을 허용하거나, 혹은 브라우저 전체에서 스크롤링을 허용할지를 결정.  ",Allow scrolling only on the selection list or on the entire browser. ,/AutoComplete/wheelStop_preventWheelEvent_AutoComplete_SelectBox.pdf,,"AutoComplete
SelectBox",wheelStop_preventWheelEvent_AutoComplete_SelectBox,Sample X Dubbing X,,,
22,Calendar - disableBeforeToday & disableAfterToday,https://youtu.be/T87T6hOuU7o,현재 날짜 이전 혹은 이후의 날짜 선택을 방지. ,Prevent the dates before or after the present day from being selected. ,/Calendar/disableBeforeToday_disableAfterToday_Calendar.pdf,,Calendar,disableBeforeToday_disableAfterToday_Calendar,Sample X Dubbing X,,,
23,MapChart - dataMapPath & changeMapPath(),https://youtu.be/BRcjBZ6xNeg,선택된 데이터를 사용하여 시각화된 지도 데이터를 생성.,Draw a visualized map using the specified data. ,/MapChart/dataMapPath_chargeMapPath_MapChart.pdf,,MapChart,dataMapPath_chargeMapPath_MapChart,Sample X Dubbing X,,,
24,PageList - displaySearchBox,https://youtu.be/iWo8SKPH_-0,페이지 번호를 입력하여 해당 페이지로 바로 이동할 수 있는 페이지 번호 입력창을 표시. ,Display the page number input box to directly move to the specified page. ,/PageList/displaySearchbox_PageList.pdf,,PageList,displaySearchbox_PageList,Sample X Dubbing X,,,
25,SelectBox - preventWheelEvent,https://youtu.be/KXhjWiPzx-k,선택 목록 위에서 마우스 스크롤링 시 선택 목록이 스크롤되는 것을 방지. 대신 브라우저가 스크롤됨. ,"Prevent scrolling of the selection list. Instead, the browser will be scrolled. ",/SelectBox/preventWheelEvent_SelectBox.pdf,,SelectBox,preventWheelEvent_SelectBox,Sample X Dubbing X,,,
26,WidgetContainer - cols & unitHeightPixel & addWidgets(),https://youtu.be/dlKWj8jXlTY,"위젯 생성 방법 및 위젯 이동, 최대화, 고정, 리사이징, 닫기 방법 소개. ","Describes how to create widgets, and move, maximize, fix, resize, and close widgets. ",/WidgetContainer/cols_unitHeightPixel_addWidgets_WidgetContainer.pdf,,WidgetContainer,cols_unitHeightPixel_addWidgets_WidgetContainer,Sample X Dubbing X,,,
27,WidgetContainer - enableWidgetTitle() & enableWidgetMove() & enableWidgetResize(),https://youtu.be/2-K7dD7OVHs,"위젯 타이틀 표시, 위젯 이동, 위젯 리사이징 방법 설명. ","Describes how to show widget title, move widgets, and resize widgets. ",/WidgetContainer/enableWidgetTitle_enableWidgetMove_enableWidgetResize_WidgetContainer.pdf,,WidgetContainer,enableWidgetTitle_enableWidgetMove_enableWidgetResize_WidgetContainer,Sample X Dubbing X,,,
28,WindowContainer - nameLayerMove,https://youtu.be/Cnp_VCf7WN8,네임 레이어 상의 윈도우 순서 변경. ,Move the windows on the name layer. ,/WindowContainer/nameLayerMove_WindowContainer.pdf,,WindowContainer,nameLayerMove_WindowContainer,Sample X Dubbing X,,,
29,WindowContainer - createWindow() & fixWindow() & unfixWindow(),https://youtu.be/60Az2lCc_10,"윈도우 생성, 윈도우 고정 및 고정 취소, 윈도우를 고정한 채로 생성.","Create windows, fix/unfix windows, and created fixed windows. ",/WindowContainer/createWindow_fixWindow_unfixWindow_WindowContainer.pdf,,WindowContainer,createWindow_fixWindow_unfixWindow_WindowContainer,Sample X Dubbing X,,,
30,WindowContainer - closeType & useFixButton,https://youtu.be/8Hx2sBDwxRE,"전체 윈도우를 한번에 닫거나, 혹은 고정되거나 고정되어 있지 않은 윈도우만 한번에 닫기. ","Close all windows, or only fixed or unfixed windows at once. ",/WindowContainer/closeType_useFixButton_WindowContainer.pdf,,WindowContainer,closeType_useFixButton_WindowContainer,Sample X Dubbing X,,,
31,$p - openPopup() & options.fullscreen,https://youtu.be/ZVnDEldLee0,팝업을 전체 화면에 표시.,Enlarge the popup to the full space of the browser.,/$p/PopUp/openPopup_fullscreen_$p_WebSquare_util.pdf,,$p,openPopup_fullscreen_$p_WebSquare_util,Sample X Dubbing X,,,
32,GridView - setFixedRow(),https://youtu.be/1Gta-JwBQNI ,GridView 행들을 고정.,Fix rows on the GridView. ,/GridView/_General/setFixedRow_GridView.pdf,,GridView,setFixedRow_GridView,Sample X Dubbing X,,,
33,GridView - setFixedRow() & mergeCellsFixedRows(),https://youtu.be/MKQ1c0k33bw,행 고정된 부분에서만 셀들을 병합. ,Merge cells only on the fixed rows. ,/GridView/Merge/setFixedRow_mergeCellsFixedRows_GridView.pdf,,GridView,setFixedRow_mergeCellsFixedRows_GridView,Sample X Dubbing X,,,
34,GridView - setFixedColumn() & setFixedRightColumn(),https://youtu.be/vXsMm4ydtY4,좌측 및 우측의 열들을 고정. ,Fix columns on the right and on the left. ,/GridView/_General/setFixedColumn_setFixedRightColumn_GridView.pdf,,GridView,setFixedColumn_setFixedRightColumn_GridView,Sample X Dubbing X,,,
35,GridView - setFixedCol()  & setFixedRightCol() & mergeCellsFixedCols(),https://youtu.be/N6Md83g1YgY,열 고정된 부분에서만 셀들을 병합. ,Merge cells only on the fixed columns.,/GridView/Merge/setFixedCol_setFixedRightCol_mergeCellsFixedCols_GridView.pdf,,GridView,setFixedCol_setFixedRightCol_mergeCellsFixedCols_GridView,Sample X Dubbing X,,,
36,GridView - advancedExcelUpload(),https://youtu.be/b62m9Ppr710,엑셀 파일을 그리드뷰로 업로드.,Upload an Excel file to the GridView.,/GridView/Excel/advancedExcelUpload_GridView.pdf,,GridView,advancedExcelUpload_GridView,Sample X Dubbing X,,,
37,GridView - advancedExcelUpload() & options.headerExist,https://youtu.be/xQi_mH-rcXs,엑셀 파일의 헤더를 제외하고 그리드뷰로 업로드. ,Upload an Excel file to the GridView not including the headers in the Excel file.,/GridView/Excel/advancedExcelUpload_headerExist_GridView.pdf,,GridView,advancedExcelUpload_headerExist_GridView,Sample X Dubbing X,,,
38,GridView - advancedExcelUpload() & options.dateFormat,https://youtu.be/BpLQJUrDebY,엑셀 파일을 그리드뷰로 업로드할 때 그리드뷰에 표시할 날짜 형식을 지정.,Define the date format to be displayed on the GridView when an Excel file is uploaded to the GridView.,/GridView/Excel/advancedExcelUpload_dateFormat_GridView.pdf,,GridView,advancedExcelUpload_dateFormat_GridView,Sample X Dubbing X,,,
39,GridView - mergeCells & mergeCol,https://youtu.be/mq_Zq0H_K9c,지정한 열의 셀들만 병합. (선택적 병합),Mege cells only on the specified columns. ,/GridView/Merge/mergeCells_mergeCol_GridView.pdf,,GridView,mergeCells_mergeCol_GridView,Sample X Dubbing X,,,
40,GridView - mergeCol(),https://youtu.be/bl6q791x12U,셀 병합에서 제외할 컬럼을 지정. 지정한 컬럼의 셀들은 병합에서 제외됨. ,Specify columns to exclude from cell merge. The cells on the specified columns will not be merged. ,/GridView/Merge/mergeCol_GridView.pdf,,GridView,mergeCol_GridView,Sample X Dubbing X,,,
41,GridView - getMerged(),https://youtu.be/TCRq5oo_wxw,지정한 셀의 합 상태를 확인. ,Return the merged status of the specified cell. ,/GridView/Merge/getMerged()_GridView.pdf,,GridView,getMerged()_GridView,Sample X Dubbing X,,,
42,WebSquare.util - multipleDataListDownload(),https://youtu.be/QJ3G8Rg0-NI,여러 개의 DataList를 엑셀 파일로 다운로드.,Download multiple dataLists into a single Excel file. ,/_WebSquare.util/multipleDataListDownload_WebSquare_util.pdf,,WebSquare.util,multipleDataListDownload_WebSquare_util,Sample X Dubbing X,,,
43,WebSquare.util - multipleExcelDownload(),https://youtu.be/nX4Q2K7Hvwo,여러 개의 GridView를 엑셀 파일로 다운로드.,Download multiple GridViews into a single Excel file.,/_WebSquare.util/multipleExcelDownload_WebSquare_util.pdf,,WebSquare.util,multipleExcelDownload_WebSquare_util,Sample X Dubbing X,,,
44,ScheduleCalendar - headerLeftBtn & headerRightBtn,https://youtu.be/O6z8sjzHfbc,"좌측 상단에는 앞뒤 이동 버튼을 표시하고, 우측 상단에는 스케줄 단위(일, 주, 월) 버튼을 표시. ","Displays Previous/Left buttons on the right, and schedule unit (day, week, month) buttons on the right. ",/ScheduleCalendar/headerLeftBtn_headerRightBtn_ScheduleCalendar.pdf,,ScheduleCalendar,headerLeftBtn_headerRightBtn_ScheduleCalendar,Sample X Dubbing X,,,
45,CheckComboBox - navBtn,https://youtu.be/xBT12u0jQps,"""선택완료"" 및 ""선택해제"" 버튼을 표시.",Displays Confirm and Cancel buttons for user's selection. ,/CheckComboBox/navBtn_CheckComboBox.pdf,,CheckComboBox,navBtn_CheckComboBox,Sample X Dubbing X,,,
